response_variable
64396.0
46958.0
44270.0
43740.0
42342.0
42025.0
42811.0
50987.0
56861.0
49877.0
41603.0
41124.0
45839.0
45846.0
52719.0
59626.0
52803.0
38913.0
43963.0
43734.0
48606.0
57552.0
11031.0
22010.0
42944.0
44321.0
45792.0
47519.0
57370.0
65415.0
52288.0
42456.0
42445.0
46115.0
48063.0
55521.0
64640.0
56269.0
41975.0
41629.0
47315.0
56100.0
61363.0
70652.0
57902.0
44269.0
42679.0
45466.0
50612.0
57004.0
66513.0
55142.0
41179.0
49523.0
49668.0
51493.0
60253.0
67411.0
53739.0
43326.0
45349.0
49331.0
52983.0
58737.0
68122.0
53538.0
41294.0
43023.0
45284.0
48983.0
57954.0
67200.0
51739.0
46516.0
42507.0
46890.0
50797.0
57699.0
64359.0
55616.0
41736.0
43293.0
44630.0
51454.0
51883.0
62613.0
53237.0
41635.0
43788.0
46051.0
48152.0
57024.0
66097.0
56100.0
46640.0
47499.0
46256.0
48454.0
58818.0
68654.0
56024.0
42216.0
44189.0
45542.0
48868.0
57218.0
67849.0
56261.0
41263.0
41894.0
45197.0
47334.0
53773.0
62011.0
52698.0
37857.0
42528.0
42607.0
45585.0
55564.0
61905.0
51976.0
40595.0
44265.0
46171.0
50559.0
60060.0
67447.0
57984.0
40281.0
41134.0
42589.0
48427.0
55685.0
67398.0
57551.0
41273.0
43709.0
46099.0
48593.0
55470.0
67758.0
52573.0
39268.0
40960.0
44759.0
47878.0
52707.0
57265.0
50109.0
37049.0
39387.0
42869.0
46339.0
54391.0
66186.0
51552.0
38993.0
40615.0
47278.0
45042.0
50795.0
59278.0
48480.0
37941.0
37737.0
42177.0
45686.0
52327.0
60909.0
52528.0
38499.0
39289.0
41869.0
45032.0
50677.0
58952.0
51363.0
39832.0
37497.0
38168.0
42425.0
48322.0
46427.0
41278.0
37722.0
36540.0
30339.0
39134.0
45842.0
52710.0
44746.0
34316.0
34946.0
38870.0
42025.0
48453.0
56296.0
48064.0
37181.0
35325.0
37829.0
41383.0
48816.0
54436.0
46205.0
37987.0
36576.0
38636.0
42979.0
47642.0
56753.0
44732.0
35850.0
37003.0
38862.0
41787.0
46396.0
52693.0
44964.0
33379.0
34940.0
38044.0
42518.0
48939.0
55274.0
45042.0
35342.0
35548.0
36971.0
39257.0
46438.0
51976.0
44883.0
32071.0
32399.0
34444.0
37930.0
42258.0
47699.0
40702.0
30704.0
30338.0
33024.0
37645.0
40663.0
41460.0
36926.0
28977.0
32289.0
34362.0
38237.0
44445.0
50782.0
41266.0
26304.0
31938.0
36819.0
38601.0
43180.0
50595.0
41573.0
34034.0
33684.0
35084.0
38391.0
44341.0
50841.0
40956.0
32165.0
32410.0
36812.0
38613.0
48980.0
