pickup_timestring,Passenger_count,Trip_distance,Total_amount,response_variable
01/01/2016,91243,207873.29000000146,979082.4400008422,64396
01/02/2016,64687,133957.8700000005,656240.8500000705,46958
01/03/2016,60679,129856.67999999963,633191.6900000386,44270
01/04/2016,59229,112022.19000000089,603734.2999999522,43740
01/05/2016,56470,110158.19999999898,593993.7899999429,42342
01/06/2016,56768,111617.66000000066,594275.0399999436,42025
01/07/2016,57851,115772.19999999966,609830.0999999667,42811
01/08/2016,68983,138444.69000000056,732898.9000002407,50987
01/09/2016,78346,163941.7499999976,821240.720000423,56861
01/10/2016,69068,147130.21999999954,719753.7100002286,49877
01/11/2016,55954,110937.08999999994,585793.5899999221,41603
01/12/2016,54807,107812.15000000049,589505.2699999375,41124
01/13/2016,62067,118111.25000000029,648550.8600000491,45839
01/14/2016,61792,124869.4200000004,663275.930000088,45846
01/15/2016,70679,147457.8299999995,784792.6600003412,52719
01/16/2016,82671,173742.86999999813,868727.8100005069,59626
01/17/2016,73525,154419.3000000004,758297.9100003265,52803
01/18/2016,52941,105593.4700000003,529132.2299997939,38913
01/19/2016,59035,113673.08999999982,616183.7199999946,43963
01/20/2016,58591,114470.56000000017,621652.2600000057,43734
01/21/2016,65817,127637.12000000048,694884.5500001629,48606
01/22/2016,77719,151360.41999999888,821724.9300004547,57552
01/23/2016,15619,30157.49999999998,157113.839999996,11031
01/24/2016,29632,61623.329999999696,316964.3899999117,22010
01/25/2016,57874,116195.44000000061,661950.6400001035,42944
01/26/2016,59153,117366.48999999888,664401.2600001153,44321
01/27/2016,61343,118905.53999999924,669184.1300001041,45792
01/28/2016,63578,126595.54999999986,696314.9300001673,47519
01/29/2016,77515,152267.67999999956,828673.9500004557,57370
01/30/2016,90012,185640.40999999997,952531.4400007005,65415
01/31/2016,72860,155316.3500000002,763774.7800003337,52288
02/01/2016,56760,115157.56000000043,607119.1599999708,42456
02/02/2016,56802,111708.3399999995,599142.2399999466,42445
02/03/2016,61527,118138.7800000011,646520.8500000462,46115
02/04/2016,64115,128408.57999999897,687525.5200001501,48063
02/05/2016,73872,144912.56000000006,771607.6100003325,55521
02/06/2016,88898,184070.12000000014,931070.280000656,64640
02/07/2016,77930,169067.75999999943,820081.8600003922,56269
02/08/2016,56009,112242.9700000004,579413.7899999114,41975
02/09/2016,55525,108864.71000000008,581277.2699999079,41629
02/10/2016,63572,121944.5799999993,654203.2300000769,47315
02/11/2016,75557,143563.6999999995,778718.1800003685,56100
02/12/2016,81818,164982.78999999963,893367.3700006362,61363
02/13/2016,96781,193874.2599999989,981537.6600008054,70652
02/14/2016,79653,163332.31999999972,808270.0400004255,57902
02/15/2016,59777,122547.27999999972,613726.7100000044,44269
02/16/2016,56577,115778.80999999985,606423.8099999737,42679
02/17/2016,61419,122081.8700000005,640903.9600000378,45466
02/18/2016,68043,135100.91999999958,714759.8700002147,50612
02/19/2016,77557,157249.54000000178,818797.3900004306,57004
02/20/2016,91715,195990.72000000044,976017.6900007442,66513
02/21/2016,76718,164995.490000001,801092.0600004419,55142
02/22/2016,54949,111318.81999999969,578685.2699999082,41179
02/23/2016,66157,123175.20000000077,677710.4900001227,49523
02/24/2016,65704,127028.63000000012,695422.560000177,49668
02/25/2016,69133,136302.6499999998,740119.4700002797,51493
02/26/2016,81222,161747.52000000075,868853.5300005705,60253
02/27/2016,93069,193095.29000000015,973634.9400007473,67411
02/28/2016,74122,162666.9200000005,790971.2300004031,53739
02/29/2016,58116,119630.84000000003,621695.9200000111,43326
03/01/2016,59861,120548.13999999924,638145.4300000316,45349
03/02/2016,65971,127462.75000000063,685845.9200001649,49331
03/03/2016,70798,140113.44,750168.0300002784,52983
03/04/2016,78742,158522.47999999937,843993.2600005133,58737
03/05/2016,93662,195342.6799999998,977770.6700007921,68122
03/06/2016,73781,159735.80000000095,780779.5800003798,53538
03/07/2016,55040,113806.4199999999,592023.789999933,41294
03/08/2016,56818,115951.0999999998,618263.8299999796,43023
03/09/2016,60132,123670.28000000013,659610.4200000842,45284
03/10/2016,65350,136865.5900000002,723118.5600002297,48983
03/11/2016,77329,162793.029999998,859602.2300005365,57954
03/12/2016,92958,200718.00999999762,996991.6500007885,67200
03/13/2016,71803,159231.04999999818,768137.4300003705,51739
03/14/2016,61845,121617.34000000058,649736.5800000906,46516
03/15/2016,56050,114865.34999999883,608396.4899999732,42507
03/16/2016,62242,127350.35000000059,678171.2300001318,46890
03/17/2016,67695,139046.5600000008,741719.9700002596,50797
03/18/2016,77073,160031.67000000042,853243.4900005162,57699
03/19/2016,88486,187565.14999999883,940156.9400006704,64359
03/20/2016,77077,164935.57000000097,806439.9200004499,55616
03/21/2016,55937,114287.49000000017,587846.1099999315,41736
03/22/2016,57644,117567.36000000084,624224.7800000116,43293
03/23/2016,59453,122496.90000000072,647448.6500000593,44630
03/24/2016,69085,141777.08999999886,756822.3200003122,51454
03/25/2016,70783,148096.7099999983,759499.9300003063,51883
03/26/2016,86970,180725.93000000177,902502.7700006441,62613
03/27/2016,74158,160032.8899999992,775169.6800003638,53237
03/28/2016,55824,114030.52999999952,595649.7299999554,41635
03/29/2016,58665,116387.16999999998,619720.7800000005,43788
03/30/2016,61665,124050.39,661591.7500000949,46051
03/31/2016,64577,134785.58000000022,712778.6200001907,48152
04/01/2016,76386,157750.4199999985,843861.8900004663,57024
04/02/2016,91551,191920.47000000297,961119.9200006939,66097
04/03/2016,77870,163599.28000000012,806340.9500004456,56100
04/04/2016,62950,121435.57000000123,655061.8500000809,46640
04/05/2016,63962,127697.75999999995,700769.4200001828,47499
04/06/2016,61963,123219.22000000036,668496.5100000999,46256
04/07/2016,65302,131687.67000000027,709234.2400001781,48454
04/08/2016,79250,163386.0700000001,881104.6300005447,58818
04/09/2016,95573,196972.78999999986,989143.8500007702,68654
04/10/2016,77738,172132.73000000135,843467.9700004974,56024
04/11/2016,57213,118962.20999999928,621524.4200000004,42216
04/12/2016,59306,117838.8300000002,637529.1800000235,44189
04/13/2016,61751,123269.40000000036,665252.8200000968,45542
04/14/2016,65687,133872.25999999896,717881.6600002085,48868
04/15/2016,77480,159736.8700000004,858363.480000512,57218
04/16/2016,93887,203003.87999999968,1024187.6500008161,67849
04/17/2016,79110,174450.45999999906,855175.1000005031,56261
04/18/2016,55293,120038.74999999936,622933.7800000196,41263
04/19/2016,56172,113883.35999999914,615982.4499999924,41894
